省份,区站号,站名,纬度,经度,气压传感器拔海高度（米）,观测场拔海高度（米）
内蒙古,50425,额尔古纳市,50.15,120.11,582.3,581.4
内蒙古,50431,根河市,50.47,121.31,718.2,717.0
内蒙古,50434,图里河,50.29,121.41,733.7,732.6
内蒙古,50445,鄂伦春自治旗,50.35,123.44,424.7,423.7
内蒙古,50514,满洲里,49.35,117.19,662.7,661.8
内蒙古,50524,陈巴尔虎旗,49.19,119.26,578.5,576.6
内蒙古,50525,鄂温克族自治旗,49.09,119.45,621.6,620.8
内蒙古,50526,牙克石市,49.17,120.42,670.0,668.8
内蒙古,50527,海拉尔,49.15,119.42,650.4,649.6
内蒙古,50548,小二沟,49.12,123.43,287.2,286.1
内蒙古,50603,新巴尔虎右旗,48.4,116.49,556.0,554.2
内蒙古,50618,新巴尔虎左旗,48.13,118.16,644.6,642.0
内蒙古,50639,扎兰屯,48,122.44,308.5,306.5
内蒙古,50645,莫力达瓦达斡尔族自治旗,48.29,124.29,196.5,195.0
内蒙古,50647,阿荣旗,48.08,123.29,237.2,236.2
内蒙古,50727,阿尔山,47.1,119.56,997.7,997.2
内蒙古,50834,索伦,46.36,121.13,501.0,499.7
内蒙古,50913,乌拉盖,45.43,118.5,866.1,865.0
内蒙古,50915,东乌珠穆沁,45.31,116.58,838.9,838.7
内蒙古,50924,霍林郭勒,45.32,119.4,824.7,823.7
内蒙古,50928,巴雅尔吐胡硕,45.04,120.2,629.1,628.3
内蒙古,50934,突泉,45.23,121.35,312.7,311.7
内蒙古,50937,科尔沁右翼中旗,45.04,121.29,283.1,282.1
内蒙古,53068,二连浩特,43.38,111.56,964.1,963.1
内蒙古,53083,那仁宝力格,44.37,114.09,1182.9,1181.6
内蒙古,53149,满都拉气象站,42.32,110.08,1226.7,1225.2
内蒙古,53192,阿巴嘎旗,44.01,114.57,1127.3,1126.1
内蒙古,53231,海力素,41.24,106.24,1510.6,1509.6
内蒙古,53289,镶黄旗,42.14,113.5,1322.8,1322.1
内蒙古,53336,乌拉特中旗,41.34,108.31,1289.2,1288.0
内蒙古,53337,五原,41.06,108.16,1025.4,1023.7
内蒙古,53348,大佘太,41.01,109.08,1080.5,1078.7
内蒙古,53352,达茂旗气象局,41.42,110.26,1376.2,1376.6
内蒙古,53357,固阳县气象局,41.02,110.03,1362.1,1360.4
内蒙古,53362,四子王,41.32,111.41,1491.4,1490.1
内蒙古,53367,希拉穆仁,41.19,111.14,1603.7,1602.3
内蒙古,53368,武川县,41.05,111.28,1640.2,1637.3
内蒙古,53378,察右中旗,41.17,112.37,1737.9,1737.3
内蒙古,53384,察右后旗,41.27,113.11,1424.9,1423.5
内蒙古,53385,商都,41.36,113.32,1420.9,1420.0
内蒙古,53391,化德,41.54,114,1484.6,1482.7
内蒙古,53419,磴口,40.2,107,1060.4,1055.3
内蒙古,53420,杭锦后旗,40.51,107.07,1024.9,1024.0
内蒙古,53433,乌拉特前旗,40.44,108.39,1022.0,1020.4
内蒙古,53446,包头市,40.32,109.53,1005.9,1004.7
内蒙古,53455,土右旗气象局,40.33,110.32,1000.9,998.6
内蒙古,53457,达拉特旗,40.24,110.02,1012.2,1011.0
内蒙古,53463,呼和浩特,40.51,111.34,1154.4,1153.5
内蒙古,53464,土默特左旗,40.43,111.1,1047.5,1042.7
内蒙古,53466,呼和浩特郊区站,40.45,111.42,1046.6,1045.4
内蒙古,53467,托克托县,40.16,111.11,1017.5,1016.0
内蒙古,53469,和林格尔县,40.24,111.49,1164.0,1166.7
内蒙古,53472,卓资,40.52,112.34,1453.2,1451.7
内蒙古,53475,凉城,40.31,112.28,1272.2,1268.9
内蒙古,53480,集宁,41.02,113.04,1421.5,1419.3
内蒙古,53481,察右前旗,40.48,113.13,1317.1,1316.8
内蒙古,53483,兴和,40.52,113.5,1269.9,1268.7
内蒙古,53484,丰镇,40.27,113.09,1192.9,1191.5
内蒙古,53512,乌海,39.48,106.48,1105.8,1105.6
内蒙古,53513,临河,40.44,107.22,1042.3,1041.1
内蒙古,53522,伊克乌素,40.03,107.5,1181.4,1180.3
内蒙古,53529,鄂托克旗,39.05,107.58,1381.7,1381.4
内蒙古,53533,杭锦旗,39.49,108.43,1414.4,1414.0
内蒙古,53543,东胜,39.5,109.59,1462.8,1461.9
内蒙古,53545,伊金霍洛旗,39.34,109.43,1367.3,1367
内蒙古,53553,准格尔旗,39.52,111.13,1222.9,1221.4
内蒙古,53562,清水河县,39.55,111.4,1192.2,1187.4
内蒙古,53644,乌审旗,38.36,108.5,1309.3,1307.2
内蒙古,53730,鄂托克前旗,38.11,107.29,1335.0,1333.3
内蒙古,53732,河南,37.51,108.43,1211.5,1209.9
内蒙古,54012,西乌珠穆沁,44.35,117.36,1002.6,1001.7
内蒙古,54024,富河,44.27,119.18,710.0,710.0
内蒙古,54026,扎鲁特,44.34,120.54,265.8,265.0
内蒙古,54027,巴林左旗,43.59,119.24,487.2,486.2
内蒙古,54031,高力板,44.54,121.49,201.1,198.3
内蒙古,54039,舍伯吐,44.02,122.01,182.7,181.6
内蒙古,54047,科左中旗,44.08,123.17,146.9,145.8
内蒙古,54102,锡林浩特,43.57,116.07,1003.8,1003.0
内蒙古,54113,巴林右旗,43.32,118.39,622.5,621.4
内蒙古,54115,林西县,43.38,118.02,825.4,825.0
内蒙古,54117,克什克腾旗,43.15,117.32,1004.4,1003.3
内蒙古,54122,阿鲁科尔沁旗,43.53,120.03,376.0,374.9
内蒙古,54132,青龙山,42.24,121.04,400.6,400.0
内蒙古,54134,开鲁,43.36,121.17,242.3,241.0
内蒙古,54135,通辽,43.36,122.16,180.1,178.7
内蒙古,54204,正镶白旗,42.18,115,1347.8,1346.3
内蒙古,54205,正蓝旗,42.14,116,1316.6,1315.5
内蒙古,54208,多伦县,42.11,116.28,1247.0,1245.4
内蒙古,54213,翁牛特旗,42.56,119.01,635.7,634.3
内蒙古,54214,岗子,42.35,118.25,961.3,960.0
内蒙古,54218,赤峰,42.18,118.5,669.0,668.6
内蒙古,54223,奈曼,42.51,120.39,364.0,362.9
内蒙古,54225,敖汉旗,42.18,119.57,580.3,579.4
内蒙古,54226,宝国吐,42.2,120.42,402.0,400.5
内蒙古,54231,科左后旗,42.58,122.21,249.3,248.1
内蒙古,54234,库伦,42.44,121.45,298.9,297.8
内蒙古,54305,太仆寺旗,41.53,115.16,1470.0,1468.9
内蒙古,54313,喀喇沁旗,41.56,118.42,734.8,733.7
内蒙古,54316,八里罕,41.31,118.45,680.7,679.3
内蒙古,54320,宁城县,41.36,119.18,545.3,544.2